,column_name,percent_missing
undergra,undergra,0.4142805364262414
attr5_1,attr5_1,0.4152470701945149
sinc5_1,sinc5_1,0.4152470701945149
intel5_1,intel5_1,0.4152470701945149
fun5_1,fun5_1,0.4152470701945149
amb5_1,amb5_1,0.4152470701945149
income,income,0.4896701703515767
attr1_s,attr1_s,0.5109339132535943
sinc1_s,sinc1_s,0.5109339132535943
intel1_s,intel1_s,0.5109339132535943
fun1_s,fun1_s,0.5109339132535943
amb1_s,amb1_s,0.5109339132535943
shar1_s,shar1_s,0.5109339132535943
fun3_s,fun3_s,0.5225323184728766
attr3_s,attr3_s,0.5225323184728766
sinc3_s,sinc3_s,0.5225323184728766
intel3_s,intel3_s,0.5225323184728766
amb3_s,amb3_s,0.5225323184728766
tuition,tuition,0.5730337078651685
mn_sat,mn_sat,0.6265555152833152
expnum,expnum,0.7848254198381056
